audience_percent,critic_percent,title,audience_number,critic_number,release_year,genre,runtime,differential,bubble_width
74,77,Role Models,250000,164,2008.0,Comedy,1:39,3,24.225759698543914
39,10,Couples Retreat,250000,164,2009.0,Comedy,1:54,-29,24.225759698543914
39,19,Cop Out,250000,163,2010.0,Comedy/Drama,1:43,-20,24.13333007004028
75,26,Law Abiding Citizen,250000,162,2009.0,Drama/Crime,1:48,-49,24.0406875503036
62,42,No Reservations,250000,162,2007.0,Romance/Drama,1:44,-20,24.0406875503036
65,67,Shoot 'Em Up,250000,162,2007.0,Action/Mystery and thriller,1:27,2,24.0406875503036
38,22,Semi-Pro,250000,161,2008.0,Comedy,1:31,-16,23.947830330270747
62,42,Letters to Juliet,250000,160,2010.0,Romance/Drama,1:45,-20,23.854756574160536
56,51,30 Days of Night,250000,159,2007.0,Horror/Mystery and thriller,1:53,-5,23.761464418909437
63,18,Rush Hour 3,250000,159,2007.0,Comedy/Action,1:31,-45,23.761464418909437
37,29,The Heartbreak Kid,250000,159,2007.0,Comedy,1:58,-8,23.761464418909437
57,34,Vantage Point,250000,158,2008.0,Action/Mystery and thriller,1:29,-23,23.667951973591787
66,64,Madagascar: Escape 2 Africa,250000,157,2008.0,Kids and family/Comedy,1:28,-2,23.574217318823912
66,46,Yes Man,250000,156,2008.0,Comedy,1:44,-20,23.480258506151625
44,42,Race to Witch Mountain,250000,156,2009.0,Kids and family/Sci fi,1:39,-2,23.480258506151625
62,47,Rendition,250000,155,2007.0,Mystery and thriller,2:02,-15,23.38607355742051
63,56,Orphan,250000,155,2009.0,Horror/Mystery and thriller,2:03,-7,23.38607355742051
61,57,We Own the Night,250000,153,2007.0,Drama/Crime,1:58,-4,23.197017186759677
57,41,27 Dresses,250000,153,2008.0,Romance,1:47,-16,23.197017186759677
69,37,Rambo,250000,153,2008.0,Action/Adventure,1:31,-32,23.197017186759677
53,49,Percy Jackson & the Olympians: The Lightning Thief,250000,150,2010.0,Kids and family/Adventure,1:59,-4,22.911685375307673
51,12,The Bounty Hunter,250000,150,2010.0,Action/Romance,1:51,-39,22.911685375307673
37,9,"10,000 B.C.",250000,150,2008.0,Drama/Action,1:49,-28,22.911685375307673
